		Lang				Ito				Libkuman				
traffic 	7595	4.55	1.46	3.77	2.22					25	4.84	1.28	2.04	1.59
dragon  	7600	5.9	1.76	5.5	1.92					32	4.88	1.68	4.5	2.3
jet     	7620	5.78	1.72	4.92	2.11	5.79	1.88	4.69	2.55	27	4.52	1.16	2.59	1.97
skyscrap	7640	5	1.31	6.03	2.46	4.6	2.19	6.1	3.01	38	3.87	1.88	4.37	2.39
office  	7700	4.25	1.45	2.95	2.17	4.19	1.7	3.42	2.37	25	4.09	1.31	2.74	1.81
cabinet 	7705	4.77	1.02	2.65	1.88					25	3.88	1.39	1.44	1.12
bed     	7710	5.42	1.58	3.44	2.21	6.15	2.05	3.5	2.79	50	5.02	1.92	3.22	2.23
agate   	7820	5.39	1.41	4.21	2.05	5.29	1.05	2.75	1.88	40	4.4	1.5	3.28	2.14
agate   	7830	5.26	1.38	4.08	2.11	4.86	1.3	3.03	2.24	41	3.85	1.87	2.58	2.31
violin  	7900	6.5	1.72	2.6	2.08	6.4	2.2	2.64	2.43	25	4.96	1.27	2.4	1.96
carcrash	7920	4.51	1.4	3.87	2.15	4.29	2.3	4.26	2.28	25	3.2	1.83	3.32	2.41
tissue  	7950	4.94	1.21	2.28	1.81					41	4.15	2.07	1.88	1.79
runner  	8010	4.38	1.86	4.12	2.08	5.19	1.96	4.62	2.48	41	4.03	1.82	2.35	1.92
skier   	8021	6.79	1.44	5.67	2.37					29	5.34	1.63	4.41	2.4
skier   	8030	7.33	1.76	7.35	2.02	7.02	1.93	7.44	2.09	25	5.16	1.91	3.96	2.25
skier   	8031	6.76	1.39	5.58	2.24	7.32	1.64	5.87	2.4	25	5.88	1.42	4	2.12
iceskate	8032	6.38	1.57	4.19	2.08	6.16	1.44	4.42	2.06	25	5.79	1.67	2.92	2.1
iceskate	8033	6.66	1.52	5.01	2.15	6.6	2.18	4.76	2.35	38	5.47	2.45	3.97	2.44
skier   	8034	7.06	1.53	6.3	2.16	7.04	1.52	5.58	2.54	40	6.05	1.79	4.33	2.59
diver   	8040	6.64	1.56	5.61	2.01	6.58	1.77	5.58	2.45	32	5.38	1.66	4.06	2.17
diver   	8041	6.65	1.67	5.49	2.29	6.16	1.68	5.36	2.22	25	5.44	1.8	3.92	2.71
rower   	8050	6.24	1.49	4.31	2.12	6.08	1.62	4.54	2.79	41	5.2	1.34	3.54	2.26
boxer   	8060	5.36	2.23	5.31	1.99	6.38	2.64	6.54	2.79	40	4.83	1.82	3.88	2.65
sailing 	8080	7.73	1.34	6.65	2.2	6.82	1.7	6.28	2.3	40	5.25	1.92	4.73	2.49
gymnast 	8090	7.02	1.33	5.71	2.1	6.48	1.79	6.38	2.02	25	5.5	1.38	4.21	2.57
football	8116	6.82	1.77	5.97	2.29					26	5.35	1.77	3.69	2.04
Hockey  	8117	6.02	1.68	5.3	2.44					25	6.04	1.93	3.92	2.55
athlete 	8120	7.09	1.36	4.85	2.13	7.02	1.52	4.53	2.45	43	5.79	1.88	2.77	1.95
polevaul	8130	6.58	1.34	5.49	2.07	6	1.48	5.88	2.17	41	5.02	1.59	4.1	2.2
rockclim	8160	5.07	1.97	6.97	1.62	4.72	2.59	6.69	2.73	29	4.34	1.97	3.28	2.25
hanglide	8161	6.71	1.64	6.09	2.24	7.08	1.38	4.96	2.68	38	5.32	1.42	4	2.28
hotairba	8162	6.97	1.55	4.98	2.25	7.52	1.39	4.6	2.08	26	6.27	1.93	3.35	2.43
sailboat	8170	7.63	1.34	6.12	2.3	7.21	1.87	5.32	3.07	25	6.92	1.58	4.16	2.54
cliffdiv	8180	7.12	1.8	6.59	2.12	7.27	2.22	7.19	2.12	29	5.21	2.06	4.72	2.53
skydiver	8185	7.57	1.52	7.27	2.08					29	5.38	1.5	4.62	2.48
skier   	8190	8.1	1.39	6.28	2.57	6.78	2.04	5.26	2.34	27	6.48	1.72	4.48	2.44
waterski	8200	7.54	1.37	6.35	1.98	7.07	1.81	5.45	2.72	25	5.88	1.64	3.96	2.13
boat    	8210	7.53	1.31	5.94	2.07	7.87	1.58	5.26	2.36	25	6.48	1.73	4.96	1.99
runners 	8220	6.5	1.73	5.19	2.17	6.28	1.65	5.52	1.76	39	5.51	1.65	3.9	2.23
boxer   	8230	2.95	1.88	5.91	2.15	2.65	1.62	6.65	2.45	25	2.04	1.4	3.76	2.77
boxer   	8231	3.77	1.83	5.24	1.84					32	2.31	1.38	4.38	2.24
boxer   	8232	5.07	1.8	5.1	2.21					25	4.08	1.91	4.04	2.33
motorcyc	8250	6.19	1.62	5.04	2.49	6.65	1.64	5.7	2.03	25	4.76	1.54	4.36	2.23
motorcyc	8260	6.18	1.8	5.85	2.18	6.3	1.63	5.3	2.99	25	4.2	2.04	3.24	2.52
diver   	8280	6.38	1.46	5.05	2.18	6.08	1.29	4.63	2.05	41	4.98	1.78	3.66	2.32
pilot   	8300	7.02	1.6	6.14	2.21	6.39	1.27	5.39	2.06	68	4.66	1.76	3.06	2.37
golfer  	8311	5.88	1.67	3.57	2.35	6.1	2.2	4.1	3.28	29	5.28	2.02	2.9	1.8
carracer	8320	6.24	1.78	4.27	2.21	6.35	2.03	4.35	2.72	93	5	1.69	2.61	1.95
athletes	8330	7.56	1.55	5.74	2.32	6.83	1.59	3.09	2.39	25	5.2	1.58	3.36	1.78
planw   	8340	6.85	1.69	5.8	2.36	6.1	1.54	5.13	2.49	25	5.65	1.3	4	2.34
tennispl	8350	7.18	1.56	5.18	2.28	7.13	1.55	4.35	2.89	25	5.84	2.13	2.84	2.06
rafting 	8370	7.77	1.29	6.73	2.24	7.5	1.37	6.5	2.04	26	6.58	1.75	4.77	2.66
athletes	8380	7.56	1.55	5.74	2.32	7.55	2.14	4.25	3.26	25	7	1.85	3.64	2.04
rafters 	8400	7.09	1.52	6.61	1.86	7	2.34	5.65	3.15	26	5.58	1.94	4.04	2.55
tubing  	8420	7.76	1.55	5.56	2.38	7.21	1.84	4.16	2.85	26	7.42	1.3	3.65	2.64
runner  	8460	6.4	1.58	4.55	2.57	6.52	1.34	4.09	2.64	41	5.8	1.49	4	2.4
happytee	8461	7.22	1.53	4.69	2.2					25	6.04	1.93	3.92	2.55
runner  	8465	5.96	1.49	3.93	2.34					26	6.19	1.86	4.5	2.47
gymnast 	8470	7.74	1.53	6.14	2.19	7.1	2.1	5	2.83	25	6.4	2.24	3.24	2.2
bikeronf	8480	3.7	2.03	6.28	2.1	3.81	2.73	7.12	2.23	93	2.01	1.58	4.57	2.57
rollcoas	8490	7.2	2.35	6.68	1.97	8.19	1.6	7.54	2.06	40	7.05	1.75	5.05	2.52
watersli	8496	7.58	1.63	5.79	2.26					27	7.63	1.6	4.67	2.84
carnirid	8497	7.26	1.44	4.19	2.18					39	7.05	1.54	3.26	2.38
gold    	8500	6.96	1.64	5.6	2.4	7.72	1.62	5.52	3.01	25	5.68	2.59	4.4	3
money   	8501	7.91	1.66	6.44	2.29	8.3	1.49	6.6	3.28	26	6.15	2.38	4.08	2.56
money   	8502	7.51	1.72	5.78	2.49					51	7.29	1.49	5.78	2.25
money   	8503	7.02	1.71	5.22	2.59					50	5.9	2.1	4.39	2.31
sportcar	8510	7.32	1.72	4.93	2.56	8.42	1.06	7.31	2.02	25	5.26	2.09	3.71	2.35
sportcar	8531	7.03	1.5	5.41	2.15	7.61	1.52	6.06	2.64	25	5.88	1.42	3.84	2.08
sthltes 	8540	7.48	1.51	5.16	2.37	7.13	1.55	4.05	2.48	25	6.92	1.78	3.6	2.24
mascot  	8600	6.38	1.61	4.26	2.24	7.1	1.65	3.2	2.04	26	6.65	1.41	2.42	1.55
cemetery	9000	2.55	1.55	4.06	2.25	3.29	1.44	3.43	1.99	25	2.04	1.62	4.84	2.62
cemetary	9001	3.1	2.02	3.67	2.3	2.83	1.82	3.67	2.46	25	1.96	1.49	3.24	2.37
hivtatto	9005	3.69	2.23	5.18	2.11	2.07	1.02	3.54	2.44	25	1.96	1.4	4.29	2.42
tatoo   	9006	2.34	1.59	5.76	2.46	2.29	1.12	3.96	2.71	41	2.17	1.56	4.85	2.53
needles 	9007	2.49	1.41	5.03	2.32	2.88	1.54	6.72	2.07	40	1.93	1.33	3.55	2.72
needle  	9008	3.47	1.85	4.45	2.1	4.32	1.89	5.36	2.18	43	2.79	2.09	2.58	1.97
barbedwi	9010	3.94	1.7	4.14	2.05	4.16	1.23	4.14	2.11	25	3.72	1.59	3	2.2
starvchi	9040	1.67	1.07	5.82	2.15	1.32	0.82	6.1	2.53	25	1.28	0.89	3.48	3
scaredch	9041	2.98	1.58	4.64	2.26					25	3.08	1.85	2.84	1.99
stickthr	9042	3.15	1.89	5.78	2.48					25	1.78	1.04	4.57	2.79
lady/don	9045	3.75	1.67	3.89	2.16					40	3.63	1.67	2.95	2.36
family  	9046	3.32	1.49	4.31	1.99					38	2.89	1.75	3.5	2.35
plancras	9050	2.43	1.61	6.36	1.97	2.36	1.79	6.48	2.21	40	2.05	1.74	4.58	2.63
boy     	9070	5.01	1.89	3.63	2.03	4.68	2.05	3.76	1.88	29	3.66	1.86	3.9	2.02
wires   	9080	4.07	1.45	4.36	2.17	4.1	1.4	4.62	2.17	26	3.92	1.44	2.88	1.84
exhaust 	9090	3.56	1.5	3.97	2.12	3.3	1.85	4.02	2.62	25	4.13	1.78	2.52	1.81
cocaine 	9101	3.62	1.96	4.02	2.33					25	3.16	1.89	3.12	2.15
heroin  	9102	3.34	1.76	4.84	2.5					32	1.97	1.18	4.41	2.54
puddle  	9110	3.76	1.41	3.98	2.23	2.9	1.71	5.02	2.42	25	2.8	1.68	2.96	1.99
oilfires	9120	3.2	1.75	5.77	1.94	3.05	1.79	5.8	2.76	25	2.08	1.5	4.6	2.43
cow     	9140	2.19	1.37	5.38	2.19	2.32	1.79	5.88	2.58	26	1.62	1.44	3.65	2.24
place   	9156	6.43	1.59	5.79	2.3					25	4.59	1.74	3.86	2.27
soldier 	9160	3.23	1.64	5.87	1.93	3.1	1.73	5.92	2.16	25	2.28	1.62	4.36	2.46
seao    	9180	2.99	1.61	5.02	2.09	2.46	1.84	6.16	2.49	25	2	1.26	3.74	2.78
deadcows	9181	2.26	1.85	5.39	2.41	2.42	2.38	6.52	2.47	25	1.52	1.48	5.36	2.86
horses  	9182	3.52	2.04	4.98	2.07	3.83	2.04	5.92	1.44	25	6.4	2.24	3.24	2.2
woman   	9190	3.9	1.44	3.91	1.73	4.18	1.06	4.46	2.06	25	3.28	1.59	3.12	2.2
rain    	9210	4.53	1.82	3.08	2.13	4.3	1.55	2.13	1.58	43	2.79	1.85	2.67	1.91
cemetery	9220	2.06	1.54	4	2.09	1.9	1.65	3.85	2.7	43	2.09	1.93	3.26	2.45
oilfire 	9230	3.89	1.58	5.77	2.36	3	1.91	4.65	2.06	68	2.19	1.6	4.38	2.9
warvicti	9250	2.57	1.39	6.6	1.87	1.76	1.12	6.34	2.78	41	1.65	1.08	4.53	2.83
deadbody	9252	1.98	1.59	6.64	2.33	2.28	2.37	7.2	2.38	25	1.5	0.98	3.56	2.4
mutilati	9253	2	1.19	5.53	2.4					25	1.61	1.45	5.78	2.15
hung man	9265	2.6	1.52	4.34	2.09					26	1.46	1.24	4.42	2.64
toxicwas	9270	3.72	1.51	5.24	2.15	3.93	1.25	3.59	2.53	25	1.76	1.39	3.6	2.65
smoke   	9280	2.8	1.54	4.26	2.44					32	2.28	1.3	3.5	2.45
garbage 	9290	2.88	1.52	4.4	2.11	2.23	1.18	4.81	2.32	25	3	2.14	3.52	2.06
dirty   	9300	2.26	1.76	6	2.41	1.54	1.07	6.62	2.55	25	1.64	1.11	4.8	2.61
vomit   	9320	2.65	1.92	4.93	2.7	2.57	2.09	5.57	2.27	29	2.24	1.9	3.31	2.49
garbage 	9330	2.89	1.74	4.35	2.7	3.43	1.34	3.3	1.69	41	2.78	1.68	3.27	2.28
bag man 	9331	2.87	1.28	3.85	2					32	2.66	1.15	3.53	2.33
garbage 	9340	2.41	1.48	5.16	2.35	2.3	1.34	4.25	3.02	25	2.36	1.5	4.4	2.52
poolno  	9360	4.03	1.38	2.63	1.75					43	3.44	1.4	2.05	1.46
garbage 	9373	3.38	1.48	5.01	2.16	4	1.29	5.12	1.54	32	2.03	1.6	4.16	2.27
dishes  	9390	3.67	1.58	4.14	2.52	3.65	1.27	3.65	2.17	25	2.88	1.36	3.24	1.83
soldier 	9400	2.5	1.61	5.99	2.15	1.92	1.16	6.31	2.83	40	1.53	0.99	4.4	3.27
knives  	9401	4.53	1.31	3.88	1.98	4.77	2.03	5.52	2.25	40	2.92	1.56	3.2	2.04
mob     	9402	4.48	2.12	5.07	2.15	3.68	2.27	6.35	2.03	43	2.65	1.4	3	2.17
soliders	9404	3.71	1.67	4.67	2.26	3.84	2.25	6.58	1.82	25	3.29	2.1	4.92	2.47
slicehan	9405	1.83	1.17	6.08	2.4					41	5.13	3.01	1.54	1.29
soldier 	9410	1.51	1.15	7.07	2.06	1.5	1.03	6.92	2.33	41	1.22	0.73	5.63	3.02
boy     	9411	4.63	1.58	5.37	1.97	4.83	1.86	5.42	1.98	40	3.78	1.64	3.75	2.3
handicap	9415	2.82	2	4.91	2.35	1.84	1.34	5.19	2.32	25	1.84	1.18	3.16	2.17
speeding	9417	3.16	1.48	4.83	2.24					25	4.2	2.04	3.24	2.52
soldier 	9420	2.31	1.59	5.69	2.28	2.08	1.2	6.19	2.53	26	1.42	1.1	3.54	2.21
soldier 	9421	2.21	1.45	5.04	2.15	3.42	2.55	4.37	2.99	25	1.76	1.39	3.6	2.65
burial  	9430	2.63	1.59	5.26	2.55	2.54	1.65	6.04	2.24	29	2.66	1.88	2.9	2.43
mastecto	9432	2.56	1.66	4.92	2.28	3.48	2.33	5.76	2.57	25	2.68	1.41	4.64	2.25
mastecmy	9433	1.84	1.19	5.89	2.6					25	1.52	1.12	3.71	2.91
skulls  	9440	3.67	1.86	4.55	2.02	3.35	1.98	5.62	2.38	25	2.04	1.24	3.76	2.57
gun     	9452	3.19	1.98	5.14	2.3	4.12	2.07	5.96	1.9	39	2.18	1.57	3.56	2.69
ruins   	9470	3.05	1.51	5.05	1.98	3.36	1.85	6.16	1.62	38	1.76	1.4	3.39	2.49
skull   	9480	3.51	2.08	5.57	1.87					25	2.32	2.15	4.64	2.63
corpse  	9490	3.6	1.72	5.57	2.13	3.91	1.73	5	2.28	25	2.68	1.82	4.12	1.94
porpoise	9500	2.42	1.73	5.82	2.29	1.92	1.41	6.56	2.48	29	3.31	1.65	3.38	2.64
kids    	9520	2.46	1.61	5.41	2.27	3.05	1.9	4.95	3.02	40	2.18	1.58	3.93	2.41
boys    	9530	2.93	1.84	5.2	2.26	2.94	1.61	5.19	1.9	26	1.92	1.02	3.69	2.11
duckoil 	9560	2.12	1.93	5.5	2.52	2.35	1.64	4.57	2.68	40	3.05	2.31	4.15	2.23
sickkitt	9561	2.68	1.92	4.79	2.29					51	1.61	0.9	3.84	2.45
dog     	9570	1.68	1.23	6.14	2.31	2.6	2.64	6.1	2.94	25	2	1.95	6.04	2.57
cat     	9571	1.96	1.5	5.64	2.5	1.88	1.17	6.56	2.52	26	1.62	1.2	3.46	2.2
dentalex	9582	4.18	2.28	5.29	2.21					26	2.96	1.61	3.23	2.42
dentalex	9584	3.34	1.57	4.96	2.15					25	2.55	1.65	3.86	2.4
injectio	9592	3.34	1.75	5.23	2.09					25	3.16	1.8	3.24	2.37
injectio	9594	3.76	1.7	5.17	2.17					50	2.16	1.56	3.74	2.64
ship    	9600	2.48	1.62	6.46	2.31					93	2.02	1.62	3.81	2.53
planecra	9611	2.71	1.95	5.75	2.44	2.6	1.73	5.76	1.9	25	1.84	1.43	3.63	2.5
shipwrec	9620	2.7	1.64	6.11	2.1	2.92	1.78	6.92	1.78	32	2.41	1.5	5.09	2.49
ship    	9621	3.22	1.76	5.76	2.05	3.64	1.87	6.4	1.73	25	3.16	1.97	3.72	2.25
jet     	9622	3.1	1.9	6.26	1.98	2.52	1.64	7.16	1.91	27	2.04	1.68	4.33	2.8
bomb    	9630	2.96	1.72	6.06	2.22	4.05	1.99	5.3	2.77	43	2.93	1.68	4.12	2.4
workertr	9700	4.77	1.24	3.21	1.92					25	3.76	2.17	1.88	1.3
skinhead	9800	2.04	1.57	6.05	2.71	2.91	2.45	5.57	2.74	38	1.53	0.92	4.13	2.67
kkkrally	9810	2.09	1.78	6.62	2.26	2.8	2.67	7	2.43	25	1.12	0.33	5.32	2.66
cigarret	9830	2.54	1.75	4.86	2.63	2.3	1.17	4.45	2.86	39	2.56	1.54	2.46	2.05
autoacci	9910	2.06	1.26	6.2	2.16	2.52	1.81	5.96	2.48	25	1.75	1.65	4.08	2.58
caraccid	9911	2.3	1.37	5.76	2.1	2.6	1.63	6.32	1.93	40	1.88	1.4	5.08	2.83
firefigh	9912	3.46	1.76	4.68	2.31	3.68	1.55	5.76	1.81	25	1.64	1.52	4.56	2.74
autoacci	9920	2.5	1.52	5.76	1.96	3.2	2.21	5.4	2.95	39	1.59	0.85	4.9	2.61
fire    	9921	2.04	1.47	6.52	1.94	2.4	1.78	7.76	1.27	40	2.05	1.92	4.8	2.85
